Oid,Sediment.Y [mm],HSI_depth,Rmean,RABD845,RABD655-685max
21142,1268.52,1268.52,0.138791994,0.99342382,1.232864492
21143,1268.58,1268.58,0.142619652,0.996920517,1.234302391
21144,1268.64,1268.64,0.143029437,0.988853491,1.230548329
21145,1268.7,1268.7,0.142734506,0.991438824,1.230943392
21146,1268.76,1268.76,0.14201851,0.990954466,1.230000293
21147,1268.82,1268.82,0.140814254,0.99430597,1.234206897
21148,1268.88,1268.88,0.138297421,0.995926647,1.251363014
21149,1268.94,1268.94,0.134084879,0.991943736,1.262489368
21150,1269,1269,0.12921348,0.990035271,1.269342671
21151,1269.06,1269.06,0.124876857,0.993041244,1.275372039
21152,1269.12,1269.12,0.121285307,0.994658542,1.281802118
21153,1269.18,1269.18,0.118982426,0.994901981,1.302930029
21154,1269.24,1269.24,0.119916084,0.990593293,1.309576662
21155,1269.3,1269.3,0.123759325,0.992681947,1.294969927
21156,1269.36,1269.36,0.132438023,0.991310809,1.279094051
